ID,Video Name,YT-ID,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
147,Gebärdensprachvideo： Bundestag stimmt für den Waldumbau ,4YhWrnCM-QE,640.0 x 360.0,4902,25,122550,2023-03-21,261.28,938,770,11654,70838
148,Gebärdensprachvideo： Bundestag stimmt für Einführung eines inklusiven Wahlrechts ,jj-RxTiVaBc,640.0 x 360.0,3390,25,84750,2023-03-21,193.87,710,358,7552,46452
149,Gebärdensprachvideo： Bundestag stimmt für Renten­paket der Regierung ,oZj9CgTGnZg,640.0 x 360.0,5577,25,139425,2023-03-21,230.59,1386,798,13975,84517
150,Gebärdensprachvideo： Bundestag stimmt für weitere Corona-Hilfen für Familien ,CDyv0HjuwQU,640.0 x 360.0,2774,25,69350,2023-03-21,152.2,552,427,6826,41699
151,Gebärdensprachvideo： Bundestag stimmt Vorlagen zum nach­haltigen Wachstum ab ,sWZ603h5EVA,640.0 x 360.0,4860,25,121500,2023-03-21,261.75,941,722,11472,71720
152,Gebärdensprachvideo： Bundestag unterstützt Wissenschaft und Studierende ,Ix2hWCpF6Ag,640.0 x 360.0,2491,25,62275,2023-03-21,135.22,499,342,6156,38618
153,Gebärdensprachvideo： Bundestag verbietet laute Güterwagen ,qwBfbGRyiOE,640.0 x 360.0,2797.12,25.00035751,69929,2023-03-21,147.09,711,399,7475,45301
154,Gebärdensprachvideo： Bundestag verlängert Bundeswehreinsätze ,b6HuY3pS0UY,640.0 x 360.0,12957.32,25,323933,2023-03-21,641.35,2683,1516,28305,173570
155,Gebärdensprachvideo： Bundestag verschärft Kon­trolle von Investitionen aus dem Nicht-EU-Ausland ,O5sQ5fUfAPY,640.0 x 360.0,4286,25,107150,2023-03-21,220.63,844,582,10065,63573
156,Gebärdensprachvideo： Bundestag votiert für Sozial-Pa­ket zur Be­kämpfung von Corona ,BDgzyzL6wfc,640.0 x 360.0,3038,25,75950,2023-03-21,166.35,593,393,7249,45101
157,Gebärdensprachvideo： Bundestag will Weddell­meer in der Ant­arktis als Meeres­schutz­gebiet ,t4UbLlrv_Lk,640.0 x 360.0,2328,25,58200,2023-03-21,123.26,464,317,5757,35047
158,Gebärdensprachvideo： Bundeswehreinsatz im Irak ,gY60xWGThGU,638.0 x 360.0,2537.44,25,63436,2023-03-21,107.78,537,332,6177,37405
159,Gebärdensprachvideo： Bundeswehreinsatz in Afghanistan ,FCiO0GfbDhY,638.0 x 360.0,2743,25,68575,2023-03-21,114.45,486,356,6840,41503
160,Gebärdensprachvideo： Bundeswehreinsätze in Mali und im Irak ,fbs5PO6m_2o,640.0 x 360.0,5116.16,25,127904,2023-03-21,210.84,1193,654,12566,76750
161,Gebärdensprachvideo： Bundeswehreinsätze verlängert ,ujSeK2bhamo,640.0 x 360.0,13308.56,25,332714,2023-03-21,540.29,3162,1645,32552,199712
162,Gebärdensprachvideo： Der Besuch im Reichstagsgebäude ,_rte28lYHgo,1280.0 x 720.0,208.4,25,5210,2023-03-21,56.64,56,30,504,3343
163,Gebärdensprachvideo： Deutsch­land zu stei­gen­den Ver­tei­di­gungs­ausgaben bereit ,T3Gsc2tw2WA,640.0 x 360.0,6163,25,154075,2023-03-21,341.34,1171,820,12638,75429
164,Gebärdensprachvideo： Die Wahl des 19. Deutschen Bundestages ,ZBU2_KmfZ2g,640.0 x 360.0,221.12,25,5528,2023-03-21,12.72,62,34,547,3732
165,Gebärdensprachvideo： Diskussion über staatliche Beteiligungen bei Unter­nehmen ,nOKaZhgltTs,640.0 x 360.0,4400.52,25,110013,2023-03-21,251.27,860,578,10806,66997
166,Gebärdensprachvideo： Doris König zur Vize­prä­si­dentin des Bundes­ver­fas­sungs­ge­richts gewählt ,bX9xjcyVSxA,640.0 x 360.0,273,25,6825,2023-03-21,13.48,50,31,677,4133
167,Gebärdensprachvideo： Eideleistung der Bundesministerin der Justiz ,_AR2jtVThxE,640.0 x 360.0,402,25,10050,2023-03-21,21.85,71,46,647,4122
168,Gebärdensprachvideo： Eidesleistung der Bundesminister ,ZVT5BfYM7Xo,638.0 x 360.0,342.04,25,8551,2023-03-21,16.06,72,26,626,3653
169,Gebärdensprachvideo： Eidesleistung und Regierungserklärung der Bundesministerin der Verteidigung ,OBEAcS3KzZY,640.0 x 360.0,5956,25,148900,2023-03-21,317.08,878,494,10144,60987
170,Gebärdensprachvideo： Eingliederungs­hilfe für Menschen mit Be­hin­de­rung beschlossen ,leOrwoVI1n0,1280.0 x 720.0,2427,25,60675,2023-03-21,334.43,411,180,4600,29439
171,Gebärdensprachvideo： Einsetzung des 1. Untersuchungsausschusses ,Pea9VynNjj8,640.0 x 360.0,2743,25,68575,2023-03-21,109.7,850,324,6399,41636
172,Gebärdensprachvideo： Einsetzung von Ausschüssen ,s7rvH1idH-Y,640.0 x 360.0,2130.24,25,53256,2023-03-21,93.82,461,259,4774,29032
173,Gebärdensprachvideo： Einwanderungsgesetz ,RZQz1ZZIZt8,640.0 x 360.0,5842.04,25,146051,2023-03-21,301.86,1398,830,14454,88742
174,Gebärdensprachvideo： Ein­führung der Grund­rente beschlossen ,0XxYXGB1ves,640.0 x 360.0,4859,25,121475,2023-03-21,259.09,966,732,11602,70752
175,Gebärdensprachvideo： Enquete-Kommission zur künstlichen Intelligenz eingesetzt ,HDQ8-JXNoMw,640.0 x 360.0,4358,25,108950,2023-03-21,181.49,1212,516,10985,69172
176,Gebärdensprachvideo： EU-Gas-Geräte-Verordnung; Änderung SGB IX und XII ,OEr0AXMCRiE,640.0 x 360.0,2712,25,67800,2023-03-21,141.15,960,425,7231,45529
177,Gebärdensprachvideo： EU-Handelsabkommen mit Kanada und Japan ,n8FeRgy05ho,640.0 x 360.0,5408.12,25,135203,2023-03-21,224.31,1435,695,13603,83806
178,Gebärdensprachvideo： Europäische Energiepolitik ,MkN3xilFOc0,640.0 x 360.0,4957,25,123925,2023-03-21,274.88,1784,960,13535,82368
179,Gebärdensprachvideo： Eva Högl als neue Wehrbeauftragte vereidigt ,2buQdSGbEt8,640.0 x 360.0,291,25,7275,2023-03-21,16.41,50,40,571,3584
180,Gebärdensprachvideo： Fachkräfteeinwanderungsgesetz ,1c_vDnFwc3A,640.0 x 360.0,5238,25,130950,2023-03-21,283.76,1930,890,13760,84997
181,Gebärdensprachvideo： Familiennachzug neu regeln ,MgHCndzJmJI,640.0 x 360.0,4310,25,107750,2023-03-21,228,1204,552,10668,65127
182,Gebärdensprachvideo： FDP und AfD schei­tern mit Steuer­senkungs­anträgen ,9Vz1VfIKn1A,1280.0 x 720.0,4278,25,106950,2023-03-21,550.93,899,669,11162,68067
183,Gebärdensprachvideo： FDP und Grüne mit Initiativen zu EU-Grund­rechten gescheitert ,trBr6xWL-JE,640.0 x 360.0,4975,25,124375,2023-03-21,266.25,938,598,11915,74812
184,Gebärdensprachvideo： FDP-Antrag zu Steuer­senkung für Unternehmen ab­gelehnt ,LV5Z2U3lD5o,640.0 x 360.0,4591,25,114775,2023-03-21,259.36,961,682,11931,73769
185,Gebärdensprachvideo： FDP-Antrag zur Schulden­bremse kontrovers debattiert ,ybqThYCDu_E,640.0 x 360.0,4046,25,101150,2023-03-21,211.2,1465,610,10751,65670
186,Gebärdensprachvideo： FDP-Vorschläge zur Min­dest­lohn-Do­ku­men­tation sto­ßen auf Widerstand ,tZQsyP3lb6g,640.0 x 360.0,4437,25,110925,2023-03-21,224.15,1477,656,11823,71777
187,Gebärdensprachvideo： Feierstunde 100 Jahre Frauenwahlrecht ,SH_LPl_jQmw,640.0 x 360.0,4947,25,123675,2023-03-21,252.07,797,547,8650,49966
188,Gebärdensprachvideo： Forderungen nach Polizei­beauf­tragten oder Polizei­beschwerde­stelle abgelehnt ,fRZO7p9vksY,640.0 x 360.0,2649,25,66225,2023-03-21,132.51,1020,686,12681,78951
189,Gebärdensprachvideo： Fraktionen befür­worten Milliar­den-Paket im Kampf gegen Corona-Pan­demie ,lfu-j7DIMEQ,640.0 x 360.0,6797,25,169925,2023-03-21,345.41,1234,827,16099,98126
190,Gebärdensprachvideo： Fraktionen kritisieren AfD-Antrag zu Target-Forderungen ,1RHgcfH14Ws,640.0 x 360.0,3904,25,97600,2023-03-21,205.07,1508,675,10728,66018
191,Gebärdensprachvideo： Fraktionen wollen den Öffent­lichen Gesundheits­dienst stärken ,8hVy2wpCf74,1280.0 x 720.0,4339,25,108475,2023-03-21,486.39,1174,588,10056,63804
192,Gebärdensprachvideo： Fraktionen würdigen das Grundgesetz ,AX0dKvnxoeE,640.0 x 360.0,8458,25,211450,2023-03-21,453.89,1926,1291,20684,127909
193,Gebärdensprachvideo： Friedensmission der Bundes­wehr im Südsudan verlängert ,x4TsFU3SRW8,640.0 x 360.0,2292,25,57300,2023-03-21,127.56,435,316,5328,34208
194,Gebärdensprachvideo： Gedenken an Altkanzler Dr. Helmut Kohl ,FfbUS7hiW2w,638.0 x 360.0,1446.04,25,36151,2023-03-21,71.01,245,78,2399,15155
195,Gebärdensprachvideo： Gedenken an Opfer der „Euthanasie“ im NS-­Staat ,RNYNsO1y8UQ,640.0 x 360.0,4181.52,25.00023915,104539,2023-03-21,219.92,678,300,6181,39189
196,Gebärdensprachvideo： Gedenken der Terroropfer und Wahl einer Stellvertreterin des Präsidenten ,jWzIjWSX4qU,640.0 x 360.0,2888.48,25,72212,2023-03-21,161.82,283,135,2764,17737
197,Gebärdensprachvideo： Gedenken zum Volkstrauertag ,NTruTHxkxkg,640.0 x 360.0,3423.04,25,85576,2023-03-21,133.21,501,256,5026,30491
198,Gebärdensprachvideo： Gedenkstunde zum 9. November ,GF350jESEZQ,640.0 x 360.0,3990,25,99750,2023-03-21,161.28,599,276,5660,34564
199,Gebärdensprachvideo： Gedenkstunde zum Volkstrauertag ,OowQu4t0N1c,1280.0 x 720.0,4690.8,25,117270,2023-03-21,678.33,639,356,6541,39386
200,Gebärdensprachvideo： Generalaussprache im Parlament ,MEAJHt88Mhc,640.0 x 360.0,10770,25,269250,2023-03-21,426.61,2397,1437,26436,160364
201,Gebärdensprachvideo： Generalaussprache zum Etat der Bundeskanzlerin ,DvpYPpKQaaw,1280.0 x 720.0,14101,25,352525,2023-03-21,1437.28,3738,1843,32471,193386
202,Gebärdensprachvideo： Generalaussprache zum Haushalt 2018 ,v6BbfOCmCU0,640.0 x 360.0,14241,25,356025,2023-03-21,581.04,3452,1813,35819,214341
203,Gebärdensprachvideo： Generaldebatte zum Kanzleretat ,HMh_9JSgyV0,640.0 x 360.0,14380,25,359500,2023-03-21,477.6,3482,1786,35157,210586
204,Gebärdensprachvideo： Gesetz beugt Immobilienblasen vor ,BQLpeuruQak,640.0 x 360.0,2633.24,25.00037976,65832,2023-03-21,139.5,672,371,6813,42425
205,Gebärdensprachvideo： Gesetze gegen Steuerbetrug beschlossen ,9tCEFM0gPIg,640.0 x 360.0,4504.88,25.00022198,112623,2023-03-21,241.68,1135,675,11721,72121
206,Gebärdensprachvideo： Gesetz­entwürfe zu Kinder­rech­ten im Grund­gesetz ,RrqdZ-D8Z6M,640.0 x 360.0,4151,25,103775,2023-03-21,220.21,1483,454,11093,68254
207,Gebärdensprachvideo： Gesunde Ernährung ,O9TX907_pag,640.0 x 360.0,4320.28,25,108007,2023-03-21,195.71,1054,612,10648,65838
208,Gebärdensprachvideo： Gesunde Ernährung ,WmOBy7zNqd0,640.0 x 360.0,4692,25,117300,2023-03-21,180.18,1118,774,12157,73602
209,Gebärdensprachvideo： Geteiltes Echo auf geplante Regelungen für Menschen mit Behinderungen ,X8EkXTsmIgA,1280.0 x 720.0,7454.08,25,186352,2023-03-21,910.83,1451,943,18720,117396
210,Gebärdensprachvideo： Globaler Pakt für Migration ,u6OtUe6VVeI,640.0 x 360.0,5772,25,144300,2023-03-21,306.7,1945,870,14788,88922
211,Gebärdensprachvideo： Grundgesetz-Änderung für Finanzreform ,uWTks3Sfxgc,640.0 x 360.0,14456.72,25,361418,2023-03-21,772.21,2759,1555,27877,172867
212,Gebärdensprachvideo： Grundsteuerreform ,P4ckjPntyq8,640.0 x 360.0,4371,25,109275,2023-03-21,240.61,1081,690,11766,71655
213,Gebärdensprachvideo： Grüne und Linke mit Vor­schlä­gen zum Um­gang mit Canna­bis­produkten ,UJG6G3_5Lyw,640.0 x 360.0,4576,25,114400,2023-03-21,232.88,935,737,11386,70756
214,Gebärdensprachvideo： Debatte über Gedenk­ort für NS-Kriegs­opfer im Osten ,gu8LJeFWKCI,640.0 x 360.0,4228,25,105700,2023-03-21,232.96,1287,525,10491,64674
215,Gebärdensprachvideo： Eidesleistung der Kanzlerin ,nSj5QNB-vAA,640.0 x 360.0,301,25,7525,2023-03-21,11.98,63,24,437,2729
216,Gebärdensprachvideo： Ermäßigte Umsatzsteuer für Speisen in Gaststätten beschlossen ,SjQLf7DNXOQ,640.0 x 360.0,2870,25,71750,2023-03-21,161.32,603,493,7507,46094
217,Gebärdensprachvideo： FDP will klare gesetz­liche Grund­lage für In­fek­tions­schutz­maß­nahmen ,_RGnbJyA_Wk,640.0 x 360.0,4790.12,25,119753,2023-03-21,244.56,896,593,11169,68249
218,Gebärdensprachvideo： Fraktionen werben für Moderni­sierungen im Petitions­wesen ,Kd9z2Gz9DgU,640.0 x 360.0,4461.68,25,111542,2023-03-21,242.56,855,620,10542,65039
219,Gebärdensprachvideo： Gedenkenstunde für NS-Opfer ,MbRy99EpxK8,640.0 x 360.0,3721.92,25,93048,2023-03-21,152.88,513,377,5630,33318
220,Gebärdensprachvideo： Gesetzentwurf zu Abschie­bungen stößt auf Kritik ,TU-i168lt50,640.0 x 360.0,4243,25,106075,2023-03-21,222.31,1558,668,10695,66701
221,Gebärdensprachvideo： Antisemitismus ,Yj9zVi8H1Gw,640.0 x 360.0,2972.12,25,74303,2023-03-21,138.43,625,351,6487,39152
222,Gebärdensprachvideo： Bundes­kanzlerin Merkel sieht Licht am Ende des Tunnels ,R8jlYN-PbLQ,640.0 x 360.0,14783,25,369575,2023-03-21,677.58,2897,1967,36901,222348
223,Gebärdensprachvideo： Grüne wollen „soziale Absicherung europa­weit garantieren“ ,8znBl7p6x1M,640.0 x 360.0,4730,25,118250,2023-03-21,190.51,1653,572,12720,79201
224,Gebärdensprachvideo： Merkel-Appell in der Generaldebatte - ＂Halten Sie sich an die Regeln!＂ ,5ABwTUMeR50,640.0 x 360.0,13788,25,344700,2023-03-21,446.08,2604,1777,33557,204293
225,Gebärdensprachvideo： Wahl des Parl. Kontrollgremiums ,bEXGkr0mmuY,640.0 x 360.0,988.88,25,24722,2023-03-21,60.65,116,82,1187,7204
226,Gebärdensprachvideo： Haushalt 2020： General­aus­sprache zur Politik der Großen Koa­lition ,8VPasboA8SM,640.0 x 360.0,14986,25,374650,2023-03-21,808.97,2834,2057,35902,217298
227,Gebärdensprachvideo： Haushaltsberatungen über den Etat der Bundeskanzlerin und des Bundeskanzleramts ,jc7JuML7zVc,640.0 x 360.0,13552,25,338800,2023-03-21,421.93,2658,1879,33741,206170
228,Gebärdensprachvideo： Hohe Strafen für illegale Autorennen ,4Vcs209c3Lc,640.0 x 360.0,2605.72,25,65143,2023-03-21,139.08,615,344,6559,40182
229,Gebärdensprachvideo： In Sachen Inklusion ist noch viel zu tun ,v7lIlKSRMtY,640.0 x 360.0,3905.88,25,97647,2023-03-21,198.39,837,421,8392,52341
230,Gebärdensprachvideo： Intensive Debatte zum Kohle­ausstieg ,CdIIFZotYKQ,638.0 x 360.0,5306,25,132650,2023-03-21,285.28,1818,769,14531,87126
231,Gebärdensprachvideo： Internationaler Weltfrauentag ,o__V0mxEvQA,640.0 x 360.0,4223,25,105575,2023-03-21,171,1118,437,10235,61499
232,Gebärdensprachvideo： Ja zu Gesetzen zum Bevöl­ke­rungs- und Sozialschutz und zu Kran­ken­häu­sern ,qH1tRuL1DDU,640.0 x 360.0,3206,25,80150,2023-03-21,171.74,634,444,7423,47071
233,Gebärdensprachvideo： Jahresabrüstungsbericht 2017 ,hBL6jKIG7lY,640.0 x 360.0,4552,25,113800,2023-03-21,218.25,1039,524,11045,69357
234,Gebärdensprachvideo： Jahresbericht zum Stand der Deutschen Einheit 2018 ,FrjNxuzKxAY,640.0 x 360.0,6457,25,161425,2023-03-21,237.08,1512,919,16626,101384
235,Gebärdensprachvideo： Jahreswirtschaftsbericht 2019 ,aCKkWEdobYw,640.0 x 360.0,4686,25,117150,2023-03-21,269.55,1508,655,12316,75565
236,Gebärdensprachvideo： Kanzlerin will EU-Rats­präsident­schaft für Reformen nutzen ,AIOGoLD5i7I,640.0 x 360.0,6345,25,158625,2023-03-21,328.79,1163,767,14454,90042
237,Gebärdensprachvideo： Kapa­zitäten für Schnell­tests und Masken für Risiko­gruppen erörtert ,kgPrV0hcXdg,1280.0 x 720.0,4468,25,111700,2023-03-21,636.71,1170,564,10447,65927
238,Gebärdensprachvideo： Kaum Echo auf Lin­ken-Vorstoß für mehr Geld im öffent­lichen Dienst ,Aoe45PmQxBI,640.0 x 360.0,4328,25,108200,2023-03-21,227.93,827,543,10320,64222
239,Gebärdensprachvideo： Kein Rückhalt im Bundestag für AfD-Antrag gegen Islamismus ,ObGJrDOttZQ,640.0 x 360.0,4327,25,108175,2023-03-21,230.11,848,537,10518,65935
240,"Gebärdensprachvideo： Kindergeld, Grund­frei­be­trag und Behinder­ten-Pausch­beträge steigen ",Zn1u70-9o78,640.0 x 360.0,2693,25,67325,2023-03-21,139.6,510,384,6062,38105
241,Gebärdensprachvideo： Kinderweihnachtsgeld ,MW-3ecXbk88,640.0 x 360.0,4001,25,100025,2023-03-21,212.34,1326,638,10797,64415
242,Gebärdensprachvideo： Klimaschutz soll laut Grünen ins Grundgesetz ,QChvcx4IQMk,640.0 x 360.0,4597,25,114925,2023-03-21,168.12,1138,548,11800,71924
243,Gebärdensprachvideo： Klimaschutz und Nach­haltigkeit als gemein­same Aufgabe ,SquJJA7yhCg,640.0 x 360.0,5048,25,126200,2023-03-21,276.68,987,735,11998,73272
244,Gebärdensprachvideo： Klimaschutzpolitik ,Do5aeLXUCD0,640.0 x 360.0,5348,25,133700,2023-03-21,220.5,1432,798,14582,86945
245,Gebärdensprachvideo： Koalition kündigt Reform der Kin­der- und Jugend­hilfe an ,ucEwyICYI6s,640.0 x 360.0,4296,25,107400,2023-03-21,226.35,1496,621,11782,72698
246,Gebärdensprachvideo： Koalition plant Einmal­zahlung an die Bezieher von Grund­sicherung ,24FCmS7Fnvg,1280.0 x 720.0,2747,25,68675,2023-03-21,322.64,761,358,6937,42351
247,Gebärdensprachvideo： Koalition stimmt für Starke-Familien-Gesetz ,jKQELEQ8e7A,640.0 x 360.0,5099,25,127475,2023-03-21,271.03,1331,1057,15004,87785
248,Gebärdensprachvideo： Koalition uneins über Grünen-Vorschlag zur Kindergrundsicherung ,HBRgQeVaSy0,1280.0 x 720.0,4445,25,111125,2023-03-21,568.9,957,706,11743,71551
249,Gebärdensprachvideo： Kontroverse Debatte über AfD-Antrag zur Grenz­sicherung ,TNPKzCTOE6o,640.0 x 360.0,4137,25,103425,2023-03-21,219.01,789,546,10046,61274
250,Gebärdensprachvideo： Kontroverse Debatte über Quoten im Wahl­recht ,PZPGdAxPmu0,640.0 x 360.0,4411,25,110275,2023-03-21,235.76,1494,621,11438,70165
251,Gebärdensprachvideo： Kontroverse Debatte über „kalte Pro­gression“ ,Z-exkkv8lmg,640.0 x 360.0,6250,25,156250,2023-03-21,339.12,1257,906,14516,83666
252,Gebärdensprachvideo： Kontroverse um die Fort­geltung der epide­mischen Lage ,xY0ex4xDIIE,1280.0 x 720.0,5365,25,134125,2023-03-21,571.37,1392,682,12704,77737
253,Gebärdensprachvideo： Kontroverse um Linken-Antrag zu Staats­hilfen nach dänischem Vorbild ,RCGHKhd57Jc,640.0 x 360.0,4144.04,25,103601,2023-03-21,225.33,840,621,10733,65200
254,Gebärdensprachvideo： Kontroverse um „Fair Play“ in der digitalen Welt ,f59GmHT5RdY,640.0 x 360.0,4307,25,107675,2023-03-21,232.2,1064,661,11583,72479
255,Gebärdensprachvideo： Kontroverse über Arbeits­bedingungen im Post- und Paketmarkt ,wAoCkf0vWdY,640.0 x 360.0,4228,25,105700,2023-03-21,227.41,1538,524,11772,73410
256,Gebärdensprachvideo： Ko­alitions­antrag zur nach­hal­tigen Mobilitäts­forschung angenommen ,YneaRn4dpuU,640.0 x 360.0,2337,25,58425,2023-03-21,132.82,494,374,5893,36853
257,Gebärdensprachvideo： Kritik am Starke-Familien-Gesetz ,AZIfTtp6Tno,640.0 x 360.0,4690,25,117250,2023-03-21,253.29,1731,821,13352,79189
258,Gebärdensprachvideo： Kritik an AfD-Antrag zu Ein­spa­rungen aus EU-Budget ,w7IxjfrwQQM,640.0 x 360.0,3924,25,98100,2023-03-21,211.44,1448,550,10357,63633
259,Gebärdensprachvideo： Kritik an AfD-Antrag zur Rolle der EU ,DWO5cpxdz5E,640.0 x 360.0,4328,25,108200,2023-03-21,230.61,851,592,10717,65007
260,Gebärdensprachvideo： Kritik an Bilanz von Entwicklungsminister ,gUBgiZWnbfY,640.0 x 360.0,4824.92,25,120623,2023-03-21,261.69,1144,721,12167,73030
261,Gebärdensprachvideo： Kritik an FDP-Vorstoß für mehr Parlaments­rechte in Pandemie-Zeiten ,iKUzN8YhKUU,1280.0 x 720.0,4838,25,120950,2023-03-21,632.39,1198,611,10871,67325
262,Gebärdensprachvideo： Letzte Sitzung des 18. Deutschen Bundestages ,ldwpWwtpg3g,640.0 x 360.0,14810.48,25,370262,2023-03-21,628.88,3664,1916,36940,214802
263,Gebärdensprachvideo： Linke und Grüne wollen Kinder­rechte in der Pan­demie schützen ,pSdKmiN9QjU,640.0 x 360.0,4922,25,123050,2023-03-21,265.07,996,723,12737,77234
264,Gebärdensprachvideo： Linke will Forderungen ehemaliger Adels­häuser unterbinden ,NzF_HXQuR1U,640.0 x 360.0,4252,25,106300,2023-03-21,228.1,769,498,9617,61225
265,Gebärdensprachvideo： Lob und Kritik für geplante Reform der Kinder- und Jugend­hilfe ,9mBKgEpUGI4,1280.0 x 720.0,11029,25,275725,2023-03-21,1329.81,3583,1503,28868,180631
266,Gebärdensprachvideo： Lohngerechtigkeit bei Frauen und Männern ,Z_Jx-osp934,640.0 x 360.0,4728.4,25,118210,2023-03-21,241.64,1207,680,12790,76188
267,Gebärdensprachvideo： Lösungswege zur Alters­sicherung jü­discher Kon­tingentflüchtlinge ,9J1LwM0HhJc,640.0 x 360.0,3660,25,91500,2023-03-21,195.2,1261,523,9551,60377
268,Gebärdensprachvideo： Maritime Wirtschaft als Zukunftsbranche ,we14YL6348w,640.0 x 360.0,4244.64,25.00023559,106117,2023-03-21,219.36,1102,622,11178,68229
269,Gebärdensprachvideo： Mehr Barrie­re­freiheit im Schienen­ver­kehr gefordert ,-kH68B9lKxQ,640.0 x 360.0,6107,25,152675,2023-03-21,240.43,1961,733,16603,97728
270,Gebärdensprachvideo： Mehrere Oppositions­anträge zur Ver­kehrs­politik abgelehnt ,t-2S8x4WkNE,1280.0 x 720.0,4966,25,124150,2023-03-21,673.42,1134,822,13969,78795
271,Gebärdensprachvideo： Mehrheit für Deutsch-Fran­zö­si­sches Parla­ments­ab­kommen ,fpSAiavMq48,640.0 x 360.0,4416,25,110400,2023-03-21,244.35,1471,467,10790,67800
272,Gebärdensprachvideo： Meis­terpflicht für zwölf Hand­werke wieder ein­geführt ,SwQ3zIZHjC0,640.0 x 360.0,4450,25,111250,2023-03-21,238.24,828,629,10169,63281
273,Gebärdensprachvideo： Menschenrechtslage in Deutschland ,oxY1DkQQrY0,640.0 x 360.0,4599,25,114975,2023-03-21,244.99,1185,651,12491,77646
274,Gebärdensprachvideo： Merkel dämpft Erwartungen an EU- und Nato-Gipfel ,tYilhgX9e5M,640.0 x 360.0,7978,25,199450,2023-03-21,450.48,1862,895,18855,114285
275,Gebärdensprachvideo： Merkel sieht Coronakrise noch nicht überwunden ,W7_uDJ1FcXI,640.0 x 360.0,8787,25,219675,2023-03-21,449.51,1633,1067,21112,128142
276,Gebärdensprachvideo： Merkel stellt Bedingungen für Brexit-Aufschub ,_mwUxEn4Wnw,640.0 x 360.0,8921,25,223025,2023-03-21,449.86,3099,1242,22809,139946
277,Gebärdensprachvideo： Mindest- und Garantie­rente zum Schutz vor Alters­armut debattiert ,VHWitvUGtSI,640.0 x 360.0,4437,25,110925,2023-03-21,239.66,844,590,10457,65026
278,Gebärdensprachvideo： Mindest­vergütung in der Ausbildung ,MlDA9jNmwsc,1280.0 x 720.0,4294,25,107350,2023-03-21,563.93,861,623,10315,66088
279,Gebärdensprachvideo： Nach Hanau-Morden Gefahr von Hass und rechtem Terror im Bundestag debattiert ,QoPKL2e1HtI,640.0 x 360.0,5824,25,145600,2023-03-21,308.87,997,688,12912,77200
280,Gebärdensprachvideo： NATO-Beitritt der Republik Nordmazedonien ,NzSYmvibxNY,640.0 x 360.0,3038,25,75950,2023-03-21,160.58,1013,447,7389,45897
281,Gebärdensprachvideo： Neuer Bundespräsident gewählt ,I05eHVTCXyI,640.0 x 360.0,7168.44,25,179211,2023-03-21,344.71,589,229,5431,33549
282,Gebärdensprachvideo： Neuordnung des Bund-Länder-Finanzausgleichs ,3Sh6ywMApbc,640.0 x 360.0,5578.92,25,139473,2023-03-21,287.48,1393,747,14186,86165
283,Gebärdensprachvideo： Neuregelung von Wahlrechtsausschlüssen ,mmGqwuBihuo,638.0 x 360.0,2578.24,25,64456,2023-03-21,135.62,935,366,6676,42173
284,Gebärdensprachvideo： Ja zu mehr Parla­ments­be­teili­gung und Nein zu AfD-Corona-Anträgen ,HzFteVO6nAY,640.0 x 360.0,4297.4,25,107435,2023-03-21,234.37,839,594,10322,63986
285,Gebärdensprachvideo： Keine Mehrheit für AfD-Kandidaten zur Besetzung von Gremien ,dpVh-W91dzM,638.0 x 360.0,243.24,25,6081,2023-03-21,12.99,50,34,589,3648
286,Gebärdensprachvideo： Koalition plant weitere Steuer­hilfen aufgrund der Corona-Krise ,gMvlyTU-0RQ,1280.0 x 720.0,2367,25,59175,2023-03-21,286.81,684,390,6420,38341
287,Gebärdensprachvideo： Kontroverse über Vor­lagen zum Atom­ausstieg ,cdaWpHgaRqA,640.0 x 360.0,4715,25,117875,2023-03-21,254.81,1699,718,12051,75265
288,Gebärdensprachvideo： Linke scheitert mit drei Anträgen zur Kranken- und Pflege­versicherung ,OpthHcrZS8Q,640.0 x 360.0,4651,25,116275,2023-03-21,242.72,887,604,10547,67452
289,Gebärdensprachvideo： Mehr Steuern durch kalte Progression ,Xhs3zzfJ5Mg,640.0 x 360.0,4153,25,103825,2023-03-21,162.94,1020,626,10997,66263
290,Gebärdensprachvideo： Opposition fordert nachhaltige Stärkung der Krankenhauspflege ,qfL-A0f_QHc,640.0 x 360.0,3988,25,99700,2023-03-21,219.64,877,569,10821,66574
291,Gebärdensprachvideo： Opposition kritisiert Kindergelderhöhung als Blendwerk ,y93xEV_USvI,640.0 x 360.0,4567,25,114175,2023-03-21,190.86,1143,491,11600,69097
292,Gebärdensprachvideo： Opposition kritisiert Regierungs­pläne zum digitalen Wandel ,KBLta_Qpemk,640.0 x 360.0,4841,25,121025,2023-03-21,253.78,1679,907,13230,81453
293,Gebärdensprachvideo： Opposition unzu­frie­den mit Bund-Länder-Be­schlüssen zur Co­ro­na-Krise ,j1WWc5jAmQg,1280.0 x 720.0,7799,25,194975,2023-03-21,974.58,2144,1076,19850,119131
294,Gebärdensprachvideo： Oppositionsanträge zur Finanzierung von Hoch­schulen überwiesen ,wons9ECHf0Y,640.0 x 360.0,4163,25,104075,2023-03-21,169.21,1481,548,11493,71892
